;a1;a2;a3;a4;a5;a6;a7;a8;a9;a10;a11;a12;a13;a14;a15;a16;a17;a18;a19;a20
o647;1;1;0;1;1;0;1;1;1;0;1;0;0;1;1;0;0;0;1;1
o648;0;0;1;0;0;1;1;1;1;1;1;0;0;0;1;0;1;0;0;0
o649;0;0;0;0;1;1;1;0;1;0;1;1;1;0;1;0;0;0;1;1
o650;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;1;1;1;1;1
o651;1;1;1;0;1;0;1;0;1;0;0;0;1;1;1;1;0;0;1;0
o652;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0
o653;0;0;1;0;1;0;0;1;1;0;1;0;0;0;1;1;0;1;1;1
o654;1;1;0;1;1;1;0;0;1;1;1;0;1;1;1;0;0;0;0;1
o655;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0
o656;0;0;0;0;1;1;1;0;0;1;1;1;1;0;0;1;1;1;1;0
o657;0;0;1;0;0;1;0;0;0;1;1;0;1;1;1;0;0;0;0;0
o658;0;1;0;1;1;1;0;0;0;1;0;1;0;1;0;1;1;0;1;0
o659;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1
o660;1;0;0;0;0;1;0;0;1;0;1;0;1;1;1;1;0;1;0;0
o661;0;1;0;0;1;1;1;1;1;1;1;1;0;1;1;0;0;1;0;1
o662;0;1;0;0;1;1;1;0;0;0;0;1;1;1;1;1;0;0;0;1
o663;1;1;1;0;1;0;0;1;1;0;0;0;0;1;1;1;1;0;0;0
o664;0;0;1;0;0;0;0;1;0;1;0;1;1;0;1;0;1;0;0;1
o665;0;1;1;0;1;0;0;1;0;1;0;0;0;0;1;0;1;1;0;0
o666;0;1;0;1;0;1;1;0;1;1;0;1;0;1;1;1;1;0;0;0
o667;1;0;1;0;0;0;0;0;0;1;1;0;0;1;1;1;0;1;0;1
o668;1;0;0;0;1;1;0;0;1;1;0;0;1;0;1;1;1;1;0;1
o669;1;0;0;1;0;0;1;0;1;0;1;1;0;1;0;1;0;0;1;0
o670;1;0;0;1;1;1;1;0;1;1;1;0;0;0;0;1;0;1;0;1
o671;0;0;0;1;0;1;1;1;1;0;0;0;1;0;1;1;0;1;0;1
o672;1;0;0;0;1;1;0;1;1;0;1;1;1;0;0;1;0;1;1;1
o673;1;1;1;0;1;0;1;1;1;0;0;0;0;1;0;1;0;0;0;0
o674;1;0;0;0;1;0;0;0;1;0;0;1;0;0;1;1;1;1;1;0
o675;0;0;1;1;1;0;0;1;0;1;1;0;0;0;1;1;1;0;1;1
o676;0;1;1;0;0;1;1;0;1;1;0;1;0;0;0;0;1;0;0;1
o677;1;0;1;0;0;1;0;1;1;1;0;1;0;1;1;0;1;0;1;0
o678;0;0;1;1;0;0;1;0;0;1;1;1;0;0;1;1;0;1;0;1
o679;1;0;1;1;0;1;0;1;0;0;1;0;0;1;1;0;1;1;0;1
o680;1;1;1;0;0;1;1;0;0;0;1;0;0;1;0;1;1;1;0;0
o681;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0
o682;0;0;1;0;0;1;0;1;0;1;1;1;1;0;0;1;1;1;1;0
o683;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1
o684;1;1;0;0;0;1;1;0;1;1;0;0;1;0;1;1;1;0;0;0
o685;1;1;0;1;0;0;1;1;1;0;1;0;1;1;1;1;0;1;1;1
o686;1;0;1;0;0;1;1;1;1;0;0;1;1;1;0;1;0;1;0;1
o687;0;1;1;1;0;0;1;1;1;1;1;1;1;0;1;0;0;1;1;1
o688;0;0;0;0;1;0;1;1;1;1;1;1;1;0;1;0;0;0;1;0
o689;1;0;1;1;0;0;0;1;0;1;1;1;1;1;0;1;1;1;1;0
o690;0;0;1;0;0;1;0;1;1;1;1;0;0;0;0;1;1;0;0;0
o691;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;0;0;1;0;0
o692;0;1;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0
o693;1;0;0;1;0;0;1;0;1;0;1;0;1;1;0;0;1;0;0;0
o694;0;1;1;1;1;1;0;1;0;1;0;1;1;0;1;0;0;1;1;0
o695;0;1;0;0;1;0;1;0;1;1;0;1;0;0;0;1;0;1;1;0
o696;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;0;1;1;0
o697;1;1;1;1;0;1;0;0;0;1;1;0;1;1;0;1;1;1;1;0
o698;1;0;0;0;1;1;0;0;1;1;0;1;1;0;0;1;0;1;0;0
o699;1;0;1;1;1;0;1;1;1;0;1;0;1;1;0;0;0;0;0;0
o700;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0
o701;0;1;1;1;0;0;0;1;1;0;0;1;1;1;1;0;0;1;0;1
o702;0;1;0;1;0;1;0;0;1;0;1;0;0;1;0;1;0;1;1;0
o703;1;1;0;0;0;0;0;1;1;0;1;0;1;1;0;1;1;0;0;1
o704;1;0;0;1;1;0;0;0;1;1;1;0;0;1;0;0;0;1;1;1
o705;0;0;0;1;1;1;0;0;0;1;1;0;1;0;1;0;0;1;0;0
o706;1;0;1;1;1;1;0;0;0;1;1;1;0;0;1;1;0;0;0;0
o707;0;0;0;0;1;1;1;1;0;1;0;1;1;0;0;1;1;1;1;0
o708;1;1;0;0;1;0;0;1;1;0;0;1;1;1;0;0;1;0;0;1
o709;1;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0;1;1;1;0
o710;0;0;1;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;1;1
o711;0;0;1;1;0;0;1;1;1;1;1;1;0;1;0;1;0;0;1;1
o712;0;1;0;0;1;1;0;0;1;1;0;0;0;1;1;0;1;1;0;1
o713;0;1;0;1;1;0;1;0;0;1;1;0;0;1;1;1;0;0;1;0
o714;1;0;1;0;0;0;1;1;1;0;0;0;0;0;1;1;0;1;0;1
o715;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0
o716;1;0;1;0;0;1;1;0;1;1;1;0;0;0;0;0;1;1;0;1
o717;1;1;1;1;1;1;0;1;0;0;1;0;0;0;1;0;1;0;0;1
o718;0;1;1;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0
o719;1;1;1;1;1;1;1;0;1;1;0;0;1;1;1;1;1;0;0;0
o720;0;1;0;1;1;1;0;1;1;0;1;1;0;1;0;0;0;1;1;1
o721;0;1;0;1;1;0;1;1;0;1;1;0;1;1;0;0;0;0;1;0
o722;0;0;0;1;1;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0
o723;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;1;1
o724;0;0;1;1;0;1;0;1;0;1;0;1;0;1;1;1;0;0;0;1
o725;1;1;0;0;1;0;1;1;1;1;1;1;1;0;0;1;1;1;0;0
o726;0;0;0;1;0;0;0;1;1;1;1;1;1;0;0;1;0;1;0;0
o727;0;0;1;1;1;1;0;1;0;1;1;0;1;0;1;1;1;1;1;1
o728;1;1;1;0;1;0;0;1;1;0;1;0;1;1;0;1;0;0;1;0
o729;0;1;1;1;0;0;1;1;1;0;1;1;0;1;0;0;1;1;0;0
o730;0;0;1;1;1;0;0;1;0;0;1;0;1;0;0;1;0;0;1;1
o731;1;0;1;0;1;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0
o732;1;0;1;1;0;0;0;1;1;0;1;1;0;1;0;0;0;1;0;0
o733;0;0;0;1;1;0;0;0;1;1;0;1;0;0;0;1;0;1;0;0
o734;0;0;1;0;1;1;0;1;0;1;0;0;0;0;1;0;1;0;0;1
o735;0;0;0;1;0;0;0;0;1;1;0;1;0;1;1;0;1;1;1;1
o736;1;0;1;1;1;0;0;1;1;0;1;0;1;1;0;0;1;1;1;1
o737;1;1;1;0;0;0;1;1;0;1;1;1;0;0;1;0;1;1;0;0
o738;0;0;0;1;1;0;1;0;1;0;1;0;1;0;1;1;0;1;1;1
o739;0;0;1;1;1;1;1;1;0;0;0;1;1;1;0;1;0;1;1;1
o740;1;0;1;0;0;1;0;1;0;0;0;0;0;0;1;1;1;0;0;1
o741;1;0;1;0;1;0;0;1;0;1;0;1;1;0;1;1;0;1;1;1
o742;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;1;1
o743;1;1;0;1;0;0;0;0;0;1;0;1;0;0;1;1;1;1;1;1
o744;1;1;0;1;1;1;0;0;0;1;1;1;1;0;0;1;0;1;1;1
o745;0;1;0;1;0;1;0;1;1;1;0;0;0;0;1;1;1;1;1;0
o746;1;0;0;1;0;1;0;0;0;1;0;1;1;0;0;0;1;0;1;0
o747;0;1;0;1;1;1;0;1;1;0;0;0;0;0;1;1;0;0;1;1
o748;0;0;0;0;0;1;1;1;0;1;0;1;0;1;0;0;0;0;1;0
o749;1;1;1;0;1;0;1;0;1;1;0;1;1;0;1;1;1;0;0;1
o750;1;0;1;0;1;0;0;0;1;1;1;0;1;0;1;1;0;0;1;0
o751;1;0;1;0;1;1;0;1;1;0;0;1;1;0;1;1;0;1;1;0
o752;0;0;1;0;0;1;0;0;1;1;0;1;0;1;1;1;1;1;0;0
o753;0;0;1;0;1;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0
o754;0;1;1;1;1;0;1;0;0;0;0;1;0;1;1;0;1;0;1;1
o755;0;0;1;0;1;0;0;0;1;0;1;1;0;0;1;0;1;1;1;0
o756;1;1;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1
o757;0;1;1;0;0;1;1;1;0;0;0;1;0;0;0;1;1;0;0;0
o758;1;1;1;1;1;0;1;0;0;1;0;1;1;0;0;1;0;0;0;1
o759;1;1;1;1;0;1;0;0;0;1;0;0;1;0;0;0;1;1;1;1
o760;0;0;1;0;1;1;0;0;1;0;0;1;1;1;0;1;1;0;0;1
o761;0;1;1;1;0;1;1;0;0;1;1;0;1;1;1;1;0;1;0;0
o762;1;0;1;1;0;1;1;1;0;0;1;0;1;0;1;1;0;0;0;0
o763;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0
o764;0;1;0;1;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0
o765;0;1;1;1;0;1;1;1;0;0;1;0;1;0;0;1;0;0;0;1
o766;0;0;0;1;1;0;0;1;1;1;1;0;1;1;1;0;0;0;0;1
o767;0;0;1;1;0;0;0;0;1;1;1;0;0;1;0;1;1;1;1;0
o768;1;0;1;0;1;1;1;0;0;1;1;1;0;0;1;1;0;1;1;1
o769;1;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1
o770;1;0;1;0;0;0;0;1;1;1;0;1;1;1;0;1;1;0;0;1
o771;1;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;1;1;0
o772;1;0;1;0;0;1;1;0;1;0;0;0;1;1;0;1;0;1;1;1
o773;0;1;0;0;1;0;0;0;1;1;1;1;0;1;1;1;0;1;0;0
o774;1;1;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;1;0
o775;0;1;1;1;1;0;0;0;1;0;0;1;1;1;1;0;1;1;0;0
o776;1;1;0;1;0;0;1;0;0;1;0;1;1;1;0;1;1;1;1;1
o777;0;0;1;1;0;0;1;0;1;1;1;0;1;0;1;1;0;0;1;1
o778;1;0;0;1;1;0;0;1;0;0;0;1;0;0;1;1;0;0;1;1
o779;1;1;1;0;0;1;0;0;0;1;1;1;1;1;0;0;1;0;0;0
o780;0;0;0;0;1;1;1;1;1;0;1;0;0;0;1;1;1;1;0;1
o781;1;1;0;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1
o782;1;0;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;1;1;1
o783;0;1;0;1;1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0
o784;0;1;1;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;1;1
o785;1;0;0;1;1;1;1;0;1;0;1;0;1;0;0;1;1;1;0;0
o786;0;1;1;0;0;1;0;1;0;1;0;0;0;0;1;0;1;0;0;0
o787;1;0;1;1;0;1;0;0;1;0;1;0;1;0;1;0;0;0;0;0
o788;1;1;1;1;0;1;0;1;0;1;0;1;1;0;0;1;0;1;0;1
o789;1;1;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;1;1
o790;1;0;0;1;1;0;1;0;0;1;0;1;1;0;1;0;0;0;0;0
o791;1;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;1;1;1
o792;0;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;1;0;1
o793;1;1;1;1;0;0;0;1;0;1;1;0;1;0;1;0;0;0;0;1
o794;1;1;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;0
o795;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0
o796;1;0;1;1;0;0;1;1;1;0;0;0;0;1;1;0;0;1;1;0
o797;1;0;0;0;1;1;0;1;1;0;1;0;0;0;0;0;1;1;0;0
o798;0;0;1;0;1;1;1;1;0;1;1;1;1;0;0;0;1;1;0;1
o799;0;1;0;0;0;0;1;1;1;1;1;1;1;1;0;1;1;0;1;0
o800;0;1;0;1;1;0;0;1;0;0;0;1;1;1;1;0;0;1;0;0
o801;0;1;1;1;1;1;1;1;1;0;0;1;0;0;0;1;0;1;1;0
o802;1;1;0;0;1;1;1;0;0;0;1;1;0;0;0;1;0;0;1;0
o803;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1
o804;0;0;1;1;0;1;1;0;1;1;0;0;0;0;1;0;0;1;0;1
o805;1;1;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1
o806;0;0;0;0;1;0;1;0;0;0;1;1;1;0;0;1;0;1;1;1
o807;1;1;0;1;1;1;0;1;1;1;1;1;0;1;1;1;1;0;1;1
o808;0;1;0;0;1;1;1;0;1;1;1;0;0;1;1;0;1;0;0;0
o809;0;1;1;0;1;1;0;0;1;1;0;1;0;0;1;0;0;0;1;1
o810;1;1;1;1;0;0;0;0;0;0;1;0;0;0;1;1;0;1;1;0
o811;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0
o812;0;0;0;1;0;1;1;1;1;1;1;0;0;0;1;0;0;0;0;1
o813;0;1;1;1;0;0;1;1;0;1;1;1;1;1;1;1;1;0;1;0
o814;0;1;1;0;1;0;0;1;1;0;0;1;1;0;0;0;1;1;1;0
o815;1;1;1;0;1;0;1;0;1;0;1;1;0;1;0;1;0;1;1;1
o816;0;1;1;0;0;1;0;0;0;1;1;1;1;1;0;1;1;1;0;0
o817;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;1;0;1;1;0
o818;0;0;0;0;0;1;1;1;0;0;1;0;1;0;1;0;1;0;1;1
o819;1;1;1;0;0;0;1;0;1;1;0;1;0;0;1;1;0;0;0;1
o820;0;1;0;0;1;0;1;0;0;1;1;1;1;0;1;1;0;1;0;1
o821;1;1;1;1;0;0;1;0;0;1;1;0;1;1;1;1;0;1;0;0
o822;1;0;1;1;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1
o823;1;0;1;0;0;1;0;1;1;0;1;1;0;1;1;1;1;0;1;1
o824;0;0;1;1;1;1;0;0;0;1;1;0;0;1;1;0;1;1;0;0
o825;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0;0;1;0;1;1
o826;1;1;0;0;1;0;0;0;1;1;0;0;0;0;0;1;1;1;0;0
o827;1;1;0;0;0;0;1;1;1;0;0;1;1;0;0;1;0;1;1;1
o828;1;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;0;1
o829;1;0;0;0;0;1;0;1;1;0;1;0;0;0;1;1;0;1;1;1
o830;1;1;0;1;0;1;0;1;1;1;1;0;0;1;0;0;0;0;0;0
o831;1;0;0;1;0;1;1;1;0;0;0;1;0;0;1;1;1;1;1;1
o832;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0
o833;1;1;1;0;0;0;1;0;1;1;0;1;1;0;1;1;1;1;1;1
o834;1;1;1;0;0;0;0;1;1;0;1;1;0;0;0;1;1;1;1;1
o835;1;0;0;1;1;1;0;1;1;0;1;0;0;0;1;0;0;0;0;0
o836;0;0;1;0;1;0;1;0;1;1;0;0;1;1;0;0;1;0;1;0
o837;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;1;1;0
o838;0;1;0;0;1;0;0;1;1;0;0;1;0;1;1;1;1;1;0;1
o839;0;0;1;0;1;0;0;1;1;1;0;0;1;1;0;0;0;1;0;1
o840;0;1;0;1;0;0;1;1;1;1;0;0;1;0;1;0;1;0;1;0
o841;1;1;0;1;1;1;1;1;1;0;1;0;0;0;1;0;0;0;0;0
o842;1;0;1;0;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;1
o843;1;0;0;0;1;1;1;1;1;1;0;0;0;0;0;1;1;1;0;0
o844;1;0;0;1;1;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0
o845;0;0;0;1;0;0;0;1;1;1;1;0;1;1;0;0;0;1;0;1
o846;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;1;1;1;0;1
o847;1;0;0;1;1;0;0;0;0;1;1;1;1;0;1;0;1;0;0;0
o848;0;1;1;1;1;0;1;0;0;1;1;1;1;0;1;1;1;1;1;1
o849;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0
o850;0;0;1;1;1;1;1;0;0;1;0;1;1;1;1;0;1;0;1;1
o851;1;0;1;1;0;1;1;0;1;1;0;0;1;0;1;0;1;1;0;1
o852;1;0;1;1;0;1;1;0;1;0;1;0;0;1;1;0;1;0;0;1
o853;1;0;0;0;0;1;1;1;1;0;1;1;0;0;0;1;0;0;0;0
o854;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1
o855;1;0;1;1;0;0;1;1;1;0;0;0;1;1;0;1;1;1;1;1
o856;1;0;0;1;0;0;1;1;1;0;1;0;0;0;1;1;0;1;0;1
o857;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;1;1;0;0;1
o858;0;1;0;1;0;0;1;0;1;0;1;0;0;0;0;1;1;1;1;1
o859;0;1;0;1;0;0;1;1;0;1;1;1;1;0;0;1;0;0;0;0
o860;0;0;1;0;1;0;1;0;1;0;0;1;0;1;0;1;0;0;0;0
o861;1;1;0;1;0;0;0;1;1;1;1;0;1;1;1;0;0;1;0;1
o862;1;0;1;1;0;0;1;1;0;0;0;0;0;0;0;1;0;1;1;1
o863;0;0;1;1;0;0;1;0;1;1;1;0;1;1;1;1;0;1;0;1
o864;0;0;0;0;1;0;1;0;0;1;0;0;0;1;1;0;1;0;0;1
o865;0;1;0;1;0;1;1;1;0;0;0;1;1;0;1;1;1;1;1;0
o866;1;1;1;0;1;0;1;1;1;0;1;1;1;1;0;1;1;0;1;1
o867;1;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0
o868;1;1;1;0;1;0;0;0;0;0;1;0;0;0;1;1;0;1;1;0
o869;1;1;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0
o870;0;0;0;0;1;0;0;0;1;1;1;1;1;0;0;0;1;1;0;1
o871;0;1;0;1;0;0;1;1;1;0;1;0;1;0;0;1;0;0;1;1
o872;1;1;0;1;0;0;0;1;1;0;0;0;1;0;0;1;0;1;1;0
o873;1;0;1;0;0;1;1;0;0;0;0;0;0;0;1;1;1;1;0;0
o874;1;0;0;0;1;1;1;1;1;1;0;0;1;0;1;0;0;0;1;1
o875;1;0;1;0;1;0;0;1;0;1;0;1;0;1;1;1;0;1;1;1
o876;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;1;1;1;1;1
o877;0;1;1;1;1;1;0;0;1;0;1;0;1;1;0;1;0;0;1;1
o878;1;1;1;1;1;1;0;1;1;0;0;1;1;1;1;1;0;1;1;0
o879;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0
o880;0;1;1;1;1;0;0;1;1;1;0;1;0;1;1;1;1;0;0;0
o881;1;1;0;1;1;1;1;0;1;0;1;1;1;1;0;0;1;0;1;1
o882;0;1;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1
o883;0;1;0;0;1;1;1;0;1;0;0;1;0;1;0;1;0;0;1;1
o884;0;0;1;1;1;1;0;1;1;1;0;0;0;0;1;1;1;1;1;0
o885;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;1;0;0;0;1
o886;1;0;1;0;1;0;0;0;0;0;1;0;1;1;1;0;0;0;0;1
o887;0;0;1;0;1;0;1;0;1;0;1;0;1;1;1;0;0;1;1;0
o888;1;1;0;0;1;0;1;1;0;0;0;1;0;1;1;1;1;1;0;1
o889;0;0;0;1;1;1;0;0;1;0;1;0;1;0;0;0;0;0;1;0
o890;1;0;1;0;0;0;1;1;0;1;0;1;1;1;1;1;1;0;1;1
o891;1;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;1;0;1
o892;0;0;1;1;0;1;1;0;1;0;0;1;1;1;0;1;1;1;1;0
o893;0;0;1;0;1;1;1;0;0;1;0;0;0;0;1;1;0;1;0;0
o894;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;1;0;1;0;1
o895;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1
o896;1;1;0;0;1;0;1;0;1;0;0;1;1;1;1;0;0;0;0;1
o897;0;0;0;1;1;0;1;1;0;1;1;1;0;1;1;0;0;0;1;0
o898;0;1;1;0;0;1;0;1;1;1;0;0;0;1;1;1;1;1;0;1
o899;0;1;0;1;0;0;0;1;1;0;0;0;0;1;0;0;1;0;1;0
o900;1;1;1;0;0;0;1;0;1;0;1;1;0;1;0;1;0;1;0;1
o901;1;0;1;0;1;0;0;1;1;1;0;0;1;1;0;0;0;0;1;1
o902;1;1;1;1;0;1;0;1;0;0;1;0;0;0;0;1;1;1;1;1
o903;1;0;0;1;0;1;1;1;0;1;0;0;0;1;1;0;1;0;0;0
o904;0;0;0;1;0;1;1;1;0;1;1;0;0;0;0;1;1;1;1;0
o905;0;1;1;1;1;0;1;1;1;0;1;1;0;0;0;0;0;0;1;1
o906;0;1;1;0;0;1;0;0;1;1;0;1;0;0;1;0;0;0;0;0
o907;1;0;1;0;0;0;1;1;1;0;0;1;0;1;0;1;0;1;1;1
o908;0;1;1;1;1;0;1;1;1;0;1;1;1;0;0;0;1;1;0;0
o909;0;0;0;1;0;0;0;0;1;1;1;0;0;1;1;1;1;1;1;1
o910;1;0;0;0;1;1;1;0;1;0;0;0;1;1;0;1;0;0;1;0
o911;1;1;0;1;1;1;0;1;1;1;1;1;0;0;0;0;1;1;1;0
o912;0;0;1;0;1;0;1;0;0;1;0;1;0;0;0;1;1;1;0;0
o913;1;1;0;0;1;0;1;1;0;0;1;1;0;0;0;1;0;1;1;1
o914;1;1;1;0;1;0;0;1;1;0;0;0;0;1;1;1;1;1;0;0
o915;0;0;1;0;1;0;0;1;1;1;0;1;1;1;0;1;0;0;1;0
o916;0;0;0;1;1;0;1;1;1;1;0;1;0;0;0;1;0;0;1;1
o917;1;0;0;1;1;1;1;1;0;0;1;0;1;0;1;1;1;1;0;1
o918;0;0;0;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;1;1
o919;1;0;0;1;0;1;0;1;1;0;1;0;0;0;0;0;0;1;1;0
o920;1;0;1;1;0;0;0;1;1;0;1;0;1;0;1;1;1;0;1;0
o921;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1
o922;0;1;0;1;0;1;1;1;0;1;1;0;1;0;0;1;1;0;1;1
o923;0;0;0;0;1;0;1;1;1;0;1;1;1;0;1;1;1;0;0;0
o924;1;0;1;0;1;1;1;1;0;0;1;1;0;0;0;1;1;0;1;1
o925;1;1;1;0;1;1;1;0;0;0;0;0;1;1;0;1;1;1;0;0
o926;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;1
o927;1;0;1;1;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0
o928;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;1;0;0;0
o929;1;0;0;0;0;0;0;1;1;0;1;1;0;1;1;0;0;0;0;1
o930;0;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;1
o931;0;1;0;0;0;1;1;0;0;0;0;1;0;0;1;0;1;0;0;0
o932;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;1;1;1
o933;1;1;0;0;1;1;0;0;0;1;0;1;0;0;1;1;0;1;1;1
o934;0;1;1;1;0;0;0;1;0;0;1;1;1;1;0;0;1;0;0;1
o935;1;1;0;0;0;1;1;0;1;1;0;0;1;0;1;0;0;0;1;1
o936;1;0;1;0;0;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0
o937;1;0;0;1;1;0;1;0;1;1;0;1;0;1;1;0;1;1;1;1
o938;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;1;0;0;0
o939;0;0;0;0;1;1;0;1;0;0;1;0;1;1;0;0;1;0;1;1
o940;1;1;0;1;1;1;1;0;0;0;0;1;0;1;1;1;1;0;1;1
o941;1;1;0;0;1;1;0;0;0;0;1;1;1;1;1;0;0;0;0;0
o942;1;1;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1;0;0;1
o943;1;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;1
o944;0;0;0;1;1;0;1;0;1;0;0;1;0;0;1;1;1;0;0;1
o945;1;1;0;0;0;0;0;1;1;1;0;1;1;1;0;1;1;0;0;0
o946;0;1;1;1;1;0;0;0;0;0;1;0;0;1;1;0;0;1;1;0
o947;1;1;0;0;1;1;1;0;1;1;1;0;0;1;1;1;0;1;1;0
o948;1;0;1;1;1;1;1;0;1;1;1;1;0;1;0;0;0;1;0;1
o949;0;1;0;0;0;1;1;1;0;0;0;1;1;0;0;0;1;0;0;0
o950;0;1;0;0;1;1;1;0;0;1;1;1;0;1;0;0;0;1;0;1
o951;0;1;0;1;1;0;0;1;1;1;0;0;0;0;0;1;0;0;1;1
o952;0;1;0;0;1;1;0;0;0;1;0;1;0;1;0;1;0;1;1;1
o953;1;0;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1
o954;1;1;0;1;1;0;1;1;0;1;1;0;0;1;1;1;1;1;1;0
o955;1;1;0;1;1;0;0;0;0;1;0;1;0;0;0;0;1;1;1;1
o956;1;1;0;1;0;0;1;1;0;1;1;1;1;1;0;1;0;1;0;1
o957;1;1;1;1;0;1;1;0;0;0;1;0;1;0;0;1;1;0;0;1
o958;1;1;0;1;0;1;1;1;1;0;0;1;0;1;1;1;0;0;0;1
o959;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0
o960;1;1;1;0;0;1;1;0;0;1;0;1;0;1;1;1;1;1;0;1
o961;0;0;1;1;0;1;1;0;1;1;0;1;1;1;1;1;0;0;1;0
o962;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0
o963;0;1;0;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0
o964;0;0;0;1;1;0;0;1;0;1;1;0;0;0;0;0;0;1;0;1
o965;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;1;1;1;0
o966;1;1;1;0;1;1;0;0;0;0;0;1;0;1;0;1;1;0;0;1
o967;1;0;1;1;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;1
o968;0;0;1;0;1;0;1;0;0;1;1;1;0;0;1;0;0;1;1;1
o969;1;0;0;1;1;0;0;0;1;1;1;0;0;1;0;0;1;0;0;1
o970;0;1;1;1;0;0;0;0;0;1;0;0;0;1;1;0;1;0;1;1
